,,,,,,,,,,,,,,,,,
Ethan,8,Yarden,-2,Rohan,19,,Weekly,,,,Bi-Weekly,,,,Monthly,,
Windowsills,11,Vacuum,6,Coffee table,21,,Wipe coffee table (2),1,2,,Clean Toaster (3),2,3,,Wipe windows/windowsills (3),4,3
Kitchen counter,15,Toilet,12,Kitchen sink,23,,Kitchen Sink (2),1,2,,Wipe/Scrub Toilet/Bowl (6),2,6,,Wipe couch (strip cushions) (3),4,3
Stovetop,18,Shower,17,Bathroom sink,25,,Wipe Bathroom Sink (2),1,2,,,,,,Wipe fridge inside/outside (5),4,5
,,,,,,,Wipe stovetop (3),1,3,,,,,,,,
,,,,,,,Kitchen counter (4),1,4,,,,,,,,
,,,,,,,Wipe Shower (5),1,5,,,,,,,,
,,,,,,,Mop Floors (6),1,6,,,,,,,,
,,,,,,,Vacuum Floors (8),1,8,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,Wipe coffee table (2),1,2,,,,,,,,
,,,,,,,Kitchen Sink (2),1,2,,,,,,,,
,,,,,,,Wipe Bathroom Sink (2),1,2,,,,,,,,
,,,,,,,Wipe stovetop (3),1,3,,,,,,,,
,,,,,,,Wipe windows/windowsills (3),4,3,,,,,,,,
,,,,,,,Kitchen counter (4),1,4,,,,,,,,
,,,,,,,Wipe Shower (5),1,5,,,,,,,,
,,,,,,,Wipe/Scrub Toilet/Bowl (6),2,6,,,,,,,,
,,,,,,,Vacuum Floors (8),1,8,,,,,,,,
