Chore,Frequency,Nuggies,Avg Nugg,,Nuggie Quota:,20,,Conditional,,,,,Weekly,,,,,Bi-Weekly,,,,Monthly,,
Wipe Microwave (1),0,1,3.47826087,,Max Quota:,30,,Wipe Microwave (1),0,1,,,Wipe coffee table (2),1,2,,,Clean Toaster (3),2,3,,Wipe windows/windowsills (3),4,3
Wipe Island (1),0,1,,,Min Quota:,10,,Wipe Island (1),0,1,,,Kitchen Sink (2),1,2,,,Wipe/Scrub Toilet/Bowl (6),2,6,,Wipe couch (strip cushions) (3),4,3
Wipe coffee table (2),1,2,,,,,,Compost (2),0,2,,,Wipe Bathroom Sink (2),1,2,,,,,,,Wipe fridge inside/outside (5),4,5
Compost (2),0,2,,,,,,Trash (2),0,2,,,Wipe stovetop (3),1,3,,,,,,,,,
Trash (2),0,2,,,,,,Recycle (2),0,2,,,Kitchen counter (4),1,4,,,,,,,,,
Recycle (2),0,2,,,,,,Boil/Wash Rags (3),0,3,,,Wipe Shower (5),1,5,,,,,,,,,
Kitchen Sink (2),1,2,,,,,,Half Shopping Trip (3),0,3,,,Mop Floors (6),1,6,,,,,,,,,
Wipe Bathroom Sink (2),1,2,,,,,,Wipe oven (4),0,4,,,Vacuum Floors (8),1,8,,,,,,,,,
Wipe stovetop (3),1,3,,,,,,Vacuum DLC (4),0,4,,,,,,,,,,,,,,
Wipe windows/windowsills (3),4,3,,,,,,Shopping (6),0,6,,,,,,,,,,,,,,
Boil/Wash Rags (3),0,3,,,,,,,,,,,,,,,,,,,,,,
Clean Toaster (3),2,3,,,,,,,,,,,,,,,,,,,,,,
Half Shopping Trip (3),0,3,,,,,,,,,,,,,,,,,,,,,,
Wipe couch (strip cushions) (3),4,3,,,,,,,,,,,,,,,,,,,,,,
Kitchen counter (4),1,4,,,,,,,,,,,,,,,,,,,,,,
Wipe oven (4),0,4,,,Nuggie Quota defined as the maximum value yielded from week's chore assignments PLUS the rounded up half of the average conditional nuggies per person from the week prior PLUS the average amount of nuggies collected from bits,,,,,,,,,,,,,,,,,,,
Vacuum DLC (4),0,4,,,max(assignments) + ceiling(cond_total/6) + ceiling(bits/12),,,,,,,,,,,,,,,,,,,
Wipe Shower (5),1,5,,,,,,,,,,,,,,,,,,,,,,
Wipe fridge inside/outside (5),4,5,,,1. Review frequencies/nuggets,,,,,,,,,,,,,,,,,,,
Shopping (6),0,6,,,2. Add up nuggie count and apply quota,,,,,,,,,,,,,,,,,,,
Wipe/Scrub Toilet/Bowl (6),2,6,,Ties won in order of ideality,"3. Determine assignment list (weeklys, bi-weeklys, and monthlys)",,,,,,,,,,,,,,,,,,,
Mop Floors (6),1,6,,,4. Dish out assignments,,,,,,,,,,,,,,,,,,,
Vacuum Floors (8),1,8,,,5. Update Schedule,,,,,,,,,,,,,,,,,,,
,,,,,6. Create new nuggie quota,,,,,,,,,,,,,,,,,,,
,,,,,7. Create max and min quotas,,,,,,,,,,,,,,,,,,,
,,,,,8. Praise the Nuggologer of the Week,,,,,,,,,,,,,,,,,,,
